Cliente_numero;Cliente;Grupo_numero;CNPJ;IE;IM;Telefones;Cod_log_compra;Numero_compra;Cod_log_entrega;Numero_entrega
1;Desenvolvimento de Engenharia Industrial Ltda;6;98.765.432/0001-98;987654321;12345678;(84) 99876-5432;115567;4789;115567;4789
2;Desenvolvimento de Equipamentos Industriais Ltda;6;32.109.876/0001-61;321098765;76543210;(13) 65432-1098;253427;4961;253427;4961
3;Desenvolvimento de Materiais Avancados Ltda;5;34.567.890/0001-40;345678901;98765432;(64) 76543-2109;199382;4667;199382;4667
4;Desenvolvimento de Polimeros de Alta Performance Ltda;6;43.210.987/0001-50;432109876;9876543;(64) 21098-7654;152786;2856;152786;2856
5;Desenvolvimento de Polimeros Especiais em Engenharia Ltda;6;43.210.987/0001-09;432109876;9876543;(64) 21098-7654;152786;2856;152780;1256
6;Desenvolvimento de Solucoes em Polimeros Ltda;3;89.123.456/0001-96;891234567;54321098;(24) 65432-1098;25315;476;25315;476
7;Desenvolvimento de Solucoes Industriais Ltda;6;12.345.678/0001-16;123456789;76543210;(24) 76543-2109;276542;2563;276542;2563
8;Desenvolvimento de Solucoes Tecnologicas Ltda;4;23.456.789/0001-54;234567891;98765432;(74) 91234-5678;271924;2345;271924;2345
9;Desenvolvimento de Tecnologia Avancada Ltda;7;78.912.345/0001-32;789123456;21098765;(54) 65432-1098;119034;1701;119034;1701
10;Desenvolvimento de Tecnologia em Polimeros Ltda;6;12.345.678/0001-21;123456789;12345678;(84) 99876-5432;115567;4789;115567;4789
11;Desenvolvimento de Tecnologia Industrial em Polimeros Ltda;6;54.321.098/0001-94;543210987;9876543;(04) 32109-8765;158219;3724;158219;3724
12;Desenvolvimento de Tecnologia Industrial Ltda;6;17.601.925/0001-23;176019252;12345678;(22) 99876-5432;115567;4789;115567;4789
13;Desenvolvimento de Tecnologias Industriais Ltda;1;87.654.321/0001-49;876543210;21098765;(92) 09876-5432;169805;499;169809;6578
14;Desenvolvimento e Pesquisa Industrial Ltda;3;87.654.321/0001-05;876543210;76543210;(52) 54321-0987;245112;1997;245112;1997
15;Desenvolvimento em Engenharia de Materiais Industriais Ltda;3;66.777.888/0001-99;677788889;54321098;(66) 65432-1098;25315;476;25315;476
16;Desenvolvimento em Engenharia de Materiais Tecnologicos Ltda;2;54.321.098/0001-76;543210987;87654321;(33) 98765-4321;90927;1523;90927;1523
17;Desenvolvimento em Engenharia de Polimeros Ltda;6;67.890.123/0001-49;678901234;21098765;(94) 65432-1098;177623;3776;177623;3776
18;Desenvolvimento em Engenharia e Tecnologia Ltda;3;89.123.456/0001-87;891234567;54321098;(24) 65432-1098;25315;476;25315;476
19;Desenvolvimento em Engenharia Industrial Ltda;6;17.203.541/0001-89;172035419;12345678;(22) 99876-5432;115567;4789;115567;4789
20;Desenvolvimento em Engenharia Tecnologica Ltda;7;45.539.482/0001-21;455394821;65432109;(55) 76543-2109;129879;2950;129879;2950
21;Desenvolvimento em Inovacao Industrial Avancada Ltda;4;10.987.654/0001-32;109876543;98765432;(74) 98765-4321;22818;4723;22818;4723
22;Desenvolvimento em Inovacao Industrial Ltda;4;10.987.654/0001-87;109876543;98765432;(74) 98765-4321;22818;4723;22818;4723
23;Desenvolvimento em Inovacao Tecnologica Ltda;3;21.987.654/0001-99;219876549;54321098;(66) 65432-1098;25315;476;25317;6547
24;Desenvolvimento em Polimeros de Alta Performance Ltda;7;67.891.234/0001-75;678912345;65432109;(14) 76543-2109;129879;2950;129879;2950
25;Desenvolvimento em Polimeros Especiais de Engenharia Ltda;6;32.109.876/0001-83;321098765;21098765;(94) 65432-1098;293282;4992;293282;4992
26;Desenvolvimento em Polimeros Sustentaveis Ltda;5;98.765.432/0001-94;987654321;21098765;(54) 21098-7654;229864;4756;229864;4756
27;Desenvolvimento em Solucoes Tecnologicas Ltda;5;37.318.961/0001-59;373189615;43210987;(77) 32109-8765;186755;3893;186753;987
28;Desenvolvimento em Tecnologia Avancada de Engenharia Ltda;3;87.654.321/0001-65;876543210;54321098;(66) 65432-1098;25315;476;25315;476
29;Desenvolvimento em Tecnologia Avancada de Materiais Ltda;4;32.109.876/0001-98;321098769;98765432;(11) 91234-5678;271924;2345;271924;2345
30;Desenvolvimento em Tecnologia Avancada Ltda;3;89.123.456/0001-21;891234567;54321098;(24) 65432-1098;25315;476;25315;476
31;Desenvolvimento em Tecnologia de Engenharia Industrial Ltda;4;87.654.321/0001-76;876543210;87654321;(14) 21098-7654;245112;1997;245110;765
32;Desenvolvimento em Tecnologia de Engenharia Ltda;4;87.654.321/0001-21;876543210;87654321;(14) 21098-7654;245112;1997;245112;1997
33;Desenvolvimento em Tecnologia de Materiais Avancados Ltda;3;76.543.210/0001-32;891234567;54321098;(66) 65432-1098;25315;476;25315;476
34;Desenvolvimento em Tecnologia de Polimeros Ltda;4;90.123.456/0001-49;901234567;21098765;(74) 21098-7654;154832;3927;154834;7645
35;Desenvolvimento em Tecnologia Industrial Ltda;6;22.987.654/0001-55;229876545;12345678;(22) 99876-5432;115567;4789;115567;4789
36;Desenvolvimento em Tecnologia Industrial Sustentavel Ltda;4;50.555.666/0001-77;505556677;76543210;(44) 87654-3210;201383;3721;201383;3721
37;Desenvolvimento em Tecnologia Sustentavel Ltda;4;12.345.678/0001-90;123456789;98765432;(11) 91234-5678;271924;2345;271924;2345
38;Desenvolvimento Industrial de Alta Performance Ltda;3;90.123.456/0001-57;901234567;76543210;(44) 76543-2109;28019;4350;28019;4350
39;Desenvolvimento Industrial de Tecnologia Ltda;7;24.987.654/0001-35;249876543;21098765;(99) 65432-1098;119034;1701;119034;1701
40;Desenvolvimento Industrial em Polimeros Ltda;7;78.912.345/0001-49;789123456;21098765;(54) 65432-1098;119034;1701;119031;8734
41;Desenvolvimento Industrial em Tecnologia Ltda;2;58.604.715/0001-28;586047152;32109876;(88) 54321-0987;290144;4822;290144;4822
42;Desenvolvimento Industrial Tecnologico Ltda;6;89.123.456/0001-83;891234567;21098765;(44) 21098-7654;295871;4023;295871;4023
43;Desenvolvimento Tecnologico Avancado Ltda;7;78.912.345/0001-10;789123456;21098765;(54) 65432-1098;119034;1701;119036;765
44;Desenvolvimento Tecnologico em Componentes Ltda;7;55.539.281/0001-47;555392819;65432109;(55) 76543-2109;129879;2950;129879;2950
45;Desenvolvimento Tecnologico em Engenharia de Solucoes Industriais Ltda;6;43.210.987/0001-67;432109876;9876543;(00) 21098-7654;152786;2856;152786;2856
46;Desenvolvimento Tecnologico em Engenharia Industrial Avancada Ltda;6;10.111.222/0001-33;101112233;9876543;(00) 21098-7654;152786;2856;152786;2856
47;Desenvolvimento Tecnologico em Engenharia Industrial Ltda;4;11.222.333/0001-44;112223334;98765432;(11) 98765-4321;271924;2345;271922;956
48;Desenvolvimento Tecnologico em Engenharia Ltda;3;89.123.456/0001-09;891234567;54321098;(24) 65432-1098;25315;476;25315;476
49;Desenvolvimento Tecnologico em Industria Ltda;2;33.485.926/0001-99;334859263;87654321;(33) 98765-4321;90927;1523;90927;1523
50;Desenvolvimento Tecnologico em Materiais Ltda;5;87.654.321/0001-50;876543210;21098765;(04) 21098-7654;287413;3002;287413;3002
51;Desenvolvimento Tecnologico em Polimeros Ltda;4;23.456.789/0001-90;234567891;98765432;(74) 91234-5678;271924;2345;271924;2345
52;Desenvolvimento Tecnologico em Solucoes Industriais Ltda;7;108.539.281/0001-47;108539281;65432109;(55) 76543-2109;129879;2950;129882;6743
53;Desenvolvimento Tecnologico Industrial Ltda;4;10.987.654/0001-61;109876543;98765432;(12) 98765-4321;22818;4723;22818;4723
54;Engenharia de Inovacao Tecnologica em Materiais Especiais Ltda;7;98.765.432/0001-45;789123456;21098765;(99) 65432-1098;119034;1701;119034;1701
55;Engenharia de Inovacao Tecnologica em Materiais Industriais Ltda;7;18.765.432/0001-56;876543210;21098765;(99) 65432-1098;119034;1701;119032;98
56;Engenharia de Materiais Avancados e Solucoes Ltda;2;45.678.912/0001-54;456789123;87654321;(94) 98765-4321;90927;1523;90927;1523
57;Engenharia de Materiais Avancados em Polimeros Ltda;5;34.567.891/0001-27;345678912;43210987;(34) 32109-8765;186755;3893;186755;3893
58;Engenharia de Materiais Avancados Ltda;2;45.678.912/0001-98;456789123;87654321;(94) 98765-4321;90927;1523;90927;1523
59;Engenharia de Materiais de Alto Desempenho em Polimeros Ltda;5;34.567.891/0001-76;345678912;43210987;(34) 32109-8765;186755;3893;186755;3893
60;Engenharia de Materiais Especiais em Polimeros Ltda;2;45.678.912/0001-33;456789123;87654321;(94) 98765-4321;90927;1523;90927;1523
61;Engenharia de Materiais Especiais Ltda;3;98.765.432/0001-05;987654321;87654321;(43) 98765-4321;199872;3748;199870;534
62;Engenharia de Materiais Especiais Tecnologicos Ltda;2;40.444.555/0001-66;404455566;87654321;(33) 98765-4321;90927;1523;90927;1523
